group_id,n_rows,n_benign,n_attack,technique_nunique,technique_values,source_nunique,source_values,proc_name_nunique,proc_name_values
0.001|6000.0|6|4|1|0|1|0.0|0|0|1|0.8333|5|0|1|0|0|0|0|1.0...,193,67,126,2,"['benign', 'T1078_Valid_Accounts']",1,['CAM-LDS'],0,[nan]
0.001|4000.0|4|3|1|1|1|0.0|0|0|1|0.75|3|0|1|0|0|0|0|0.987...,189,60,129,2,"['T1166_Seuid_and_Setgid', 'benign']",1,['CAM-LDS'],1,['dpkg']
0.001|5000.0|5|3|1|0|1|0.0|0|0|1|0.8|4|0|1|0|0|0|0|0.9591...,176,14,162,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],1,['dash']
0.001|4000.0|4|3|1|0|1|0.0|0|0|1|0.75|3|0|1|0|0|0|0|0.9989...,153,35,118,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],4,"['sleep', 'tr', 'expr', 'head']"
0.001|4000.0|4|3|1|0|1|0.0|0|0|1|0.75|3|0|1|0|0|0|0|0.9714...,134,23,111,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],1,['ps']
0.001|4000.0|4|3|1|0|1|0.0|0|0|1|0.75|3|0|1|0|0|0|0|0.9994...,132,35,97,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],7,"['systemd-detect-virt', 'apt-helper', 'cp', 'unsquashfs', 'gpgv']"
0.001|4000.0|4|3|1|0|1|0.0|0|0|1|0.75|3|0|1|0|0|0|0|0.9891...,129,66,63,2,"['benign', 'T1078_Valid_Accounts']",1,['CAM-LDS'],1,['sed']
0.001|4000.0|4|3|1|0|1|0.0|0|0|1|0.75|3|0|1|0|0|0|0|0.981...,122,83,39,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],1,['grep']
0.004|2500.032|10|3|1|0|1|0.0|0|0|1|0.9|9|0|4|0|0|0|0|0.9686...,113,28,85,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],1,['wazuh-modulesd']
0.001|11000.0|11|3|1|1|1|0.0|0|0|1|0.9091|10|0|4|0|0|0|0|1.0...,110,4,106,2,"['T1166_Seuid_and_Setgid', 'benign']",1,['CAM-LDS'],0,[nan]
0.001|4000.0|4|3|1|0|1|0.0|0|0|1|0.75|3|0|1|0|0|0|0|0.9997...,107,31,76,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],7,"['run-parts', 'kmod', 'ln', 'generate', 'logger']"
0.001|4000.0|4|3|1|0|1|0.0|0|0|1|0.75|3|0|1|0|0|0|0|0.9995...,102,20,82,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],8,"['snap-seccomp', 'dirname', 'date', 'readlink', 'whoami']"
0.001|9000.0|9|3|1|0|1|0.0|0|0|1|0.8889|8|0|3|0|0|0|0|1.0...,101,16,85,2,"['benign', 'T1078_Valid_Accounts']",1,['CAM-LDS'],0,[nan]
0.001|4000.0|4|3|1|0|1|0.0|0|0|1|0.75|3|0|1|0|0|0|0|0.9964...,100,29,71,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],1,['cat']
0.004|2750.035|11|3|1|0|1|0.0|0|0|1|0.9091|10|0|4|0|0|0|0|1....,96,13,83,2,"['benign', 'T1078_Valid_Accounts']",1,['CAM-LDS'],0,[nan]
0.001|11000.0|11|3|1|0|1|0.0|0|1|1|0.9091|10|0|4|0|0|0|0|1.0...,76,63,13,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],0,[nan]
0.001|4000.0|4|3|1|1|1|0.0|0|0|1|0.75|3|0|1|0|0|0|0|0.9994...,72,49,23,2,"['benign', 'T1166_Seuid_and_Setgid']",1,['CAM-LDS'],3,"['gpgv', 'mkdir', 'cp']"
0.001|4000.0|4|3|1|1|1|0.0|0|0|1|0.75|3|0|1|0|0|0|0|0.9996...,70,28,42,2,"['benign', 'T1166_Seuid_and_Setgid']",1,['CAM-LDS'],4,"['cmp', 'basename', 'gpgconf', 'gzip']"
0.001|4000.0|4|3|1|0|1|0.0|0|0|1|0.75|3|0|1|0|0|0|0|0.9983...,70,21,49,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],1,['ls']
0.001|10000.0|10|3|1|0|1|0.0|0|0|1|0.9|9|0|4|0|0|0|0|0.9762...,69,25,44,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],1,['python3.10']
0.001|4000.0|4|3|1|0|1|0.0|0|0|1|0.75|3|0|1|0|0|0|0|0.9999...,69,26,43,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],19,"['tc', 'rev', 'grub-editenv', 'apt-get', 'getopt']"
0.001|4000.0|4|3|1|1|1|0.0|0|0|1|0.75|3|0|1|0|0|0|0|0.9995...,68,29,39,2,"['T1166_Seuid_and_Setgid', 'benign']",1,['CAM-LDS'],5,"['mktemp', 'date', 'dirname', 'readlink', 'snap']"
0.001|4000.0|4|3|1|1|1|0.0|0|0|1|0.75|3|0|1|0|0|0|0|0.9891...,65,24,41,2,"['benign', 'T1166_Seuid_and_Setgid']",1,['CAM-LDS'],1,['sed']
0.001|4000.0|4|3|1|0|1|0.0|0|0|1|0.75|3|0|1|0|0|0|0|0.9996...,64,35,29,2,"['benign', 'T1078_Valid_Accounts']",1,['CAM-LDS'],4,"['last', 'xargs', 'basename', 'who']"
0.004|2750.035|11|3|1|0|1|0.0|0|0|1|0.9091|10|0|4|0|0|0|0|0....,61,18,43,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],1,['python3.10']
0.001|11000.0|11|3|1|0|1|0.0|0|1|1|0.9091|10|0|4|0|0|0|0|0.9...,48,39,9,2,"['benign', 'T1078_Valid_Accounts']",1,['CAM-LDS'],1,['python3.10']
0.001|4000.0|4|3|1|0|1|0.0|0|0|1|0.75|3|0|1|0|0|0|0|0.9991...,47,23,24,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],3,"['df', 'netstat', 'ip']"
0.001|10000.0|10|3|1|0|1|0.0|0|1|1|0.8|8|0|2|0|0|0|0|1.0...,44,17,27,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],0,[nan]
0.001|4000.0|4|3|1|0|1|0.0|0|0|1|0.75|3|0|1|0|0|0|0|0.9893...,44,10,34,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],1,['apparmor_parser']
0.001|5000.0|5|3|1|1|1|0.0|0|0|1|0.8|4|0|1|0|0|0|0|0.9591...,44,24,20,2,"['benign', 'T1166_Seuid_and_Setgid']",1,['CAM-LDS'],1,['dash']
0.001|4000.0|4|3|1|1|1|0.0|0|0|1|0.75|3|0|1|0|0|0|0|0.9989...,43,33,10,2,"['benign', 'T1166_Seuid_and_Setgid']",1,['CAM-LDS'],4,"['expr', 'head', 'tr', 'sleep']"
0.001|4000.0|4|3|1|0|1|0.0|0|0|1|0.75|3|0|1|0|0|0|0|0.9981...,42,7,35,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],1,['xtables-nft-multi']
0.001|10000.0|10|3|1|0|1|0.0|0|0|1|0.9|9|0|4|0|0|0|0|0.9976...,42,17,25,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],1,['dpkg-query']
0.001|10000.0|10|3|1|0|1|0.0|0|0|1|0.9|9|0|4|0|0|0|0|0.9979...,42,8,34,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],1,['stat']
0.001|5000.0|5|3|1|0|1|0.0|0|1|1|0.8|4|0|1|0|0|0|0|0.9591...,40,17,23,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],1,['dash']
0.001|4000.0|4|3|1|1|1|0.0|0|0|1|0.75|3|0|1|0|0|0|0|0.9999...,39,36,3,2,"['benign', 'T1166_Seuid_and_Setgid']",1,['CAM-LDS'],8,"['gnome-keyring-daemon', 'gsettings', 'gettext', 'ethtool', 'dircolors']"
0.001|8000.0|8|3|1|0|1|0.0|0|0|1|0.875|7|0|3|0|0|0|0|0.9762...,37,19,18,2,"['benign', 'T1078_Valid_Accounts']",1,['CAM-LDS'],1,['python3.10']
0.001|6000.0|6|4|1|0|1|0.0|0|0|1|0.8333|5|0|1|0|0|0|0|0.9591...,36,12,24,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],1,['dash']
0.001|4000.0|4|3|1|1|1|0.0|0|0|1|0.75|3|0|1|0|0|0|0|0.9826...,36,9,27,2,"['T1166_Seuid_and_Setgid', 'benign']",1,['CAM-LDS'],1,['rm']
0.001|4000.0|4|3|1|0|1|0.0|0|0|1|0.75|3|0|1|0|0|0|0|0.9973...,36,32,4,2,"['benign', 'T1078_Valid_Accounts']",1,['CAM-LDS'],1,['gawk']
0.001|4000.0|4|3|1|0|1|0.0|0|1|1|0.75|3|0|1|0|0|0|0|0.9939...,30,6,24,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],1,['cut']
0.001|4000.0|4|3|1|0|1|0.0|0|0|1|0.75|3|0|1|0|0|0|0|0.9972...,30,11,19,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],1,['uname']
0.001|4000.0|4|3|1|0|1|0.0|0|0|1|0.75|3|0|1|0|0|0|0|0.998...,29,9,20,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],1,['sort']
0.001|4000.0|4|3|1|1|1|0.0|0|0|1|0.75|3|0|1|0|0|0|0|0.9964...,28,10,18,2,"['T1166_Seuid_and_Setgid', 'benign']",1,['CAM-LDS'],1,['cat']
0.004|2000.026|8|3|1|0|1|0.0|0|0|1|0.875|7|0|3|0|0|0|0|1.0...,26,7,19,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],0,[nan]
0.004|2749.871|11|3|1|0|1|0.0|0|0|1|0.9091|10|0|4|0|0|0|0|1....,26,3,23,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],0,[nan]
0.001|10000.0|10|3|1|0|1|0.0|0|0|1|0.9|9|0|4|0|0|0|0|0.9985...,25,12,13,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],1,['findmnt']
0.004|2499.883|10|3|1|0|1|0.0|0|0|1|0.9|9|0|4|0|0|0|0|0.9686...,24,9,15,2,"['benign', 'T1078_Valid_Accounts']",1,['CAM-LDS'],1,['wazuh-modulesd']
0.004|2500.032|10|3|1|0|1|0.0|0|1|1|0.8|8|0|2|0|0|0|0|1.0...,23,5,18,2,"['benign', 'T1078_Valid_Accounts']",1,['CAM-LDS'],0,[nan]
0.001|8000.0|8|3|1|0|1|0.0|0|0|1|0.875|7|0|3|0|0|0|0|0.9686...,22,7,15,2,"['benign', 'T1078_Valid_Accounts']",1,['CAM-LDS'],1,['wazuh-modulesd']
0.001|8000.0|8|3|1|0|1|0.0|0|0|1|0.875|7|0|3|0|0|0|0|0.9991...,22,11,11,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],1,['ip']
0.001|4000.0|4|3|1|1|1|0.0|0|0|1|0.75|3|0|1|0|0|0|0|0.9992...,21,5,16,2,"['T1166_Seuid_and_Setgid', 'benign']",1,['CAM-LDS'],1,['chmod']
0.001|5000.0|5|4|1|0|1|0.0|0|0|1|0.8|4|0|1|0|0|0|0|0.9997...,21,6,15,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],1,['probe-bcache']
0.001|3000.0|3|3|1|0|1|0.0|0|0|1|0.6667|2|0|1|0|0|0|0|1.0...,20,1,19,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],1,"[nan, 'ld-2.23.so']"
0.001|4000.0|4|3|1|0|1|0.0|0|0|1|0.75|3|0|1|0|0|0|0|0.9826...,20,8,12,2,"['benign', 'T1078_Valid_Accounts']",1,['CAM-LDS'],1,['rm']
0.001|2000.0|2|2|1|0|1|0.0|0|0|1|1.0|2|0|1|0|0|0|0|1.0...,20,5,15,2,"['benign', 'T1078_Valid_Accounts']",1,['CAM-LDS'],0,[nan]
0.001|4000.0|4|3|1|0|1|0.0|0|1|1|0.75|3|0|1|0|0|0|0|0.9995...,19,4,15,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],3,"['date', 'whoami', 'dirname']"
0.001|4000.0|4|3|1|1|1|0.0|0|0|1|0.75|3|0|1|0|0|0|0|0.9966...,19,11,8,2,"['benign', 'T1166_Seuid_and_Setgid']",1,['CAM-LDS'],1,['find']
0.001|3000.0|3|3|1|0|1|0.0|0|0|1|1.0|3|0|1|0|0|0|0|1.0...,18,6,12,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],0,[nan]
0.001|2000.0|2|2|1|0|1|0.0|0|0|1|1.0|2|0|1|0|0|0|0|0.9997...,18,5,13,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],1,['chpasswd']
0.001|4000.0|4|3|1|0|1|0.0|0|0|1|0.75|3|0|1|0|0|0|0|0.9985...,18,8,10,2,"['benign', 'T1078_Valid_Accounts']",1,['CAM-LDS'],2,"['id', 'wazuh-agentd']"
0.001|4000.0|4|3|1|0|1|0.0|0|1|1|0.75|3|0|1|0|0|0|0|0.9972...,16,5,11,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],1,['uname']
0.001|4000.0|4|3|1|0|1|0.0|0|1|1|0.75|3|0|1|0|0|0|0|0.9985...,16,5,11,2,"['benign', 'T1078_Valid_Accounts']",1,['CAM-LDS'],1,['id']
0.004|3000.039|12|4|1|0|1|0.0|0|0|1|0.9167|11|0|4|0|0|0|0|1....,15,4,11,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],0,[nan]
0.004|2500.032|10|3|1|0|1|0.0|0|0|1|0.9|9|0|4|0|0|0|0|0.9762...,14,5,9,2,"['benign', 'T1078_Valid_Accounts']",1,['CAM-LDS'],1,['python3.10']
0.004|2749.871|11|3|1|0|1|0.0|0|0|1|0.9091|10|0|4|0|0|0|0|0....,14,6,8,2,"['benign', 'T1078_Valid_Accounts']",1,['CAM-LDS'],1,['python3.10']
0.001|4000.0|4|3|1|0|1|0.0|0|1|1|0.75|3|0|1|0|0|0|0|0.9964...,14,4,10,2,"['benign', 'T1078_Valid_Accounts']",1,['CAM-LDS'],1,['cat']
0.004|2000.026|8|3|1|0|1|0.0|0|0|1|0.875|7|0|3|0|0|0|0|0.976...,14,2,12,2,"['benign', 'T1078_Valid_Accounts']",1,['CAM-LDS'],1,['python3.10']
0.001|4000.0|4|3|1|0|1|0.0|0|1|1|0.75|3|0|1|0|0|0|0|0.9979...,14,4,10,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],1,['stat']
0.001|4000.0|4|3|1|0|1|0.0|0|1|1|0.75|3|0|1|0|0|0|0|0.9989...,14,3,11,2,"['benign', 'T1078_Valid_Accounts']",1,['CAM-LDS'],3,"['expr', 'tr', 'head']"
0.001|4000.0|4|3|1|1|1|0.0|0|0|1|0.75|3|0|1|0|0|0|0|0.9998...,14,10,4,2,"['benign', 'T1166_Seuid_and_Setgid']",1,['CAM-LDS'],2,"['tee', 'touch']"
0.001|4000.0|4|3|1|1|1|0.0|0|0|1|0.75|3|0|1|0|0|0|0|0.9591...,14,11,3,2,"['benign', 'T1166_Seuid_and_Setgid']",1,['CAM-LDS'],1,['dash']
0.001|11000.0|11|3|1|0|1|0.0|0|0|1|0.9091|10|0|4|0|0|0|0|0.9...,13,3,10,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],1,['dash']
0.001|4000.0|4|3|1|1|1|0.0|0|0|1|0.75|3|0|1|0|0|0|0|0.981...,13,7,6,2,"['T1081_Credentials_In_Files', 'benign']",1,['CAM-LDS'],1,['grep']
0.004|2250.029|9|3|1|0|1|0.0|0|0|1|0.8889|8|0|3|0|0|0|0|1.0...,12,1,11,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],0,[nan]
0.001|4000.0|4|3|1|0|1|0.0|0|1|1|0.75|3|0|1|0|0|0|0|0.981...,12,6,6,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],1,['grep']
0.001|4000.0|4|3|1|0|1|0.0|0|1|1|0.75|3|0|1|0|0|0|0|0.9966...,12,3,9,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],1,['find']
0.001|4000.0|4|3|1|0|1|0.0|0|1|1|0.75|3|0|1|0|0|0|0|0.9973...,11,3,8,2,"['benign', 'T1078_Valid_Accounts']",1,['CAM-LDS'],1,['gawk']
0.001|9000.0|9|3|1|0|1|0.0|0|0|1|0.8889|8|0|3|0|0|0|0|0.9762...,11,5,6,2,"['benign', 'T1078_Valid_Accounts']",1,['CAM-LDS'],1,['python3.10']
0.001|9000.0|9|3|1|0|1|0.0|0|0|1|0.8889|8|0|3|0|0|0|0|0.9686...,11,2,9,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],1,['wazuh-modulesd']
0.001|4000.0|4|3|1|1|1|0.0|0|0|1|0.75|3|0|1|0|0|0|0|0.998...,11,4,7,2,"['T1166_Seuid_and_Setgid', 'benign']",1,['CAM-LDS'],1,['sort']
0.008|1250.016|10|3|1|0|1|0.0|0|0|1|0.9|9|0|4|0|0|0|0|1.0...,11,6,5,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],0,[nan]
0.001|8000.0|8|3|1|0|1|0.0|0|0|1|0.75|6|0|2|0|0|0|0|1.0...,10,3,7,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],0,[nan]
0.001|4000.0|4|3|1|0|1|0.0|0|0|1|0.75|3|0|1|0|0|0|0|0.9976...,10,5,5,2,"['benign', 'T1078_Valid_Accounts']",1,['CAM-LDS'],1,['apt-config']
0.001|4000.0|4|3|1|0|1|0.0|0|1|1|0.75|3|0|1|0|0|0|0|0.9591...,10,6,4,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],1,['dash']
0.001|10000.0|10|3|1|0|1|0.0|0|1|1|0.9|9|0|4|0|0|0|0|1.0...,10,7,3,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],0,[nan]
0.001|12000.0|12|4|1|0|1|0.0|0|0|1|0.9167|11|0|4|0|0|0|0|1.0...,10,2,8,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],0,[nan]
0.001|8000.0|8|3|1|0|1|0.0|0|0|1|0.875|7|0|3|0|0|0|0|0.9981...,9,3,6,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],1,['xtables-nft-multi']
0.008|1249.979|10|3|1|0|1|0.0|0|0|1|0.9|9|0|4|0|0|0|0|0.9686...,9,3,6,2,"['benign', 'T1078_Valid_Accounts']",1,['CAM-LDS'],1,['wazuh-modulesd']
0.001|15000.0|15|3|1|0|1|0.0|0|1|1|0.8667|13|0|5|0|0|0|0|1.0...,9,5,4,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],0,[nan]
0.001|10000.0|10|3|1|1|1|0.0|0|0|1|0.9|9|0|4|0|0|0|0|1.0...,8,6,2,2,"['benign', 'T1166_Seuid_and_Setgid']",1,['CAM-LDS'],0,[nan]
0.001|4000.0|4|3|1|0|1|0.0|0|0|1|0.75|3|0|1|0|0|0|0|0.9957...,8,3,5,2,"['benign', 'T1078_Valid_Accounts']",1,['CAM-LDS'],1,['systemctl']
0.001|8000.0|8|3|1|0|1|0.0|0|0|1|0.875|7|0|3|0|0|0|0|0.9999...,8,2,6,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],4,"['nft', 'dumpe2fs', 'useradd', 'blkid']"
0.001|5000.0|5|3|1|0|1|1000.0|0|0|1|0.8|4|0|1|0|0|0|0|1.0...,8,7,1,2,"['benign', 'T1166_Seuid_and_Setgid']",1,['CAM-LDS'],0,[nan]
0.001|4000.0|4|3|1|0|1|0.0|0|0|1|0.75|3|0|1|0|0|0|0|0.9939...,7,2,5,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],1,['cut']
0.001|5000.0|5|4|1|0|1|0.0|0|0|1|0.8|4|0|1|0|0|0|0|0.9999...,7,3,4,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],4,"['fido_id', 'ubuntu-distro-info', 'store', 'ethtool']"
0.004|2750.035|11|3|1|0|1|0.0|0|1|1|0.9091|10|0|4|0|0|0|0|0....,7,1,6,2,"['benign', 'T1078_Valid_Accounts']",1,['CAM-LDS'],1,['python3.10']
0.001|4000.0|4|3|1|0|1|0.0|0|1|1|0.75|3|0|1|0|0|0|0|0.998...,7,3,4,2,"['benign', 'T1078_Valid_Accounts']",1,['CAM-LDS'],1,['sort']
0.001|10000.0|10|3|1|0|1|0.0|0|0|1|0.9|9|0|4|0|0|0|0|0.999...,7,4,3,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],1,['udevadm']
0.004|2499.883|10|3|1|0|1|0.0|0|1|1|0.8|8|0|2|0|0|0|0|1.0...,6,2,4,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],0,[nan]
0.001|10000.0|10|3|1|0|1|0.0|0|0|1|0.9|9|0|4|0|0|0|0|0.9972...,6,1,5,2,"['benign', 'T1078_Valid_Accounts']",1,['CAM-LDS'],1,['uname']
0.001|10000.0|10|3|1|0|1|0.0|0|0|1|0.9|9|0|4|0|0|0|0|0.9966...,6,3,3,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],1,['find']
0.001|4000.0|4|3|1|1|1|0.0|0|0|1|0.75|3|0|1|0|0|0|0|0.9973...,6,5,1,2,"['benign', 'T1166_Seuid_and_Setgid']",1,['CAM-LDS'],1,['gawk']
0.001|5000.0|5|4|1|0|1|0.0|0|0|1|0.8|4|0|1|0|0|0|0|0.9994...,6,3,3,2,"['benign', 'T1078_Valid_Accounts']",1,['CAM-LDS'],2,"['gpgv', 'mkdir']"
0.001|10000.0|10|3|1|0|1|0.0|0|0|1|0.9|9|0|4|0|0|0|0|0.9871...,5,2,3,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],1,['perl']
0.004|2500.032|10|3|1|0|1|0.0|0|1|1|0.8|8|0|2|0|0|0|0|0.9591...,5,3,2,2,"['benign', 'T1078_Valid_Accounts']",1,['CAM-LDS'],1,['dash']
0.008|1250.016|10|3|1|0|1|0.0|0|0|1|0.9|9|0|4|0|0|0|0|0.9686...,5,1,4,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],1,['wazuh-modulesd']
0.008|1249.979|10|3|1|0|1|0.0|0|0|1|0.9|9|0|4|0|0|0|0|1.0...,5,1,4,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],0,[nan]
0.001|4000.0|4|3|1|0|1|0.0|0|0|1|0.75|3|0|1|0|0|0|0|0.9992...,5,2,3,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],1,['chmod']
0.001|14000.0|14|3|1|0|1|0.0|0|1|1|0.8571|12|0|5|0|0|0|0|0.9...,5,1,4,2,"['T1078_Valid_Accounts', 'benign']",1,['CAM-LDS'],1,['env']
