row_id,true_label,pred_xgb,pred_cnn,llm_verdict,llm_pred,llm_confidence,llm_agrees_with,key_features,rationale,parse_status,error
7925,0,0,1,MALICIOUS,1,0.78,cnn,"[""events_per_second"", ""seq_length"", ""auid_euid_mismatch"", ""failed_call_rate""]","Privilege state: UID changed and auid_euid_mismatch set, indicating potential identity spoofing. | Mechanism: No setuid/setgid execution, but a high syscall throughput (events_per_second at p98) and a short-lived privileged process (ephemeral_privileged set). | Behavioural anomaly: High failed_call_rate (p98 vs benign) and exec_count (p82 vs benign) suggest unusual or failed system interactions. | Benign-explanation test: Short lifetime (p42) and unique_syscalls (p51) argue against typical admin scripting or health-checks. | Decide: The high failed_call_rate and exec_count, along with the UID changes, support the CNN's malicious classification.",ok,
8389,0,0,1,MALICIOUS,1,0.78,cnn,"[""events_per_second"", ""seq_length"", ""auid_euid_mismatch"", ""failed_call_rate""]","Privilege state: UID changed and auid_euid_mismatch set, indicating potential identity spoofing. | Mechanism: No setuid/setgid execution, but a high syscall throughput (events_per_second at p98) and a short-lived privileged process (ephemeral_privileged set). | Behavioural anomaly: High failed_call_rate (p98 vs benign) and exec_count (p82 vs benign) suggest unusual or failed system interactions. | Benign-explanation test: Short lifetime (p42) and unique_syscalls (p51) argue against typical admin scripting or health-checks. | Decide: The high failed_call_rate and exec_count, along with the UID changes, support the CNN's malicious classification.",ok,
9039,1,0,1,MALICIOUS,1,0.95,cnn,"[""parent_child_rarity"", ""lifetime_seconds"", ""events_per_second"", ""failed_call_rate""]","Privilege state: process real UID is root and effective UID is root with no UID change, indicating a potential privilege escalation attempt. | Mechanism: no setuid/setgid execution, but a rare exec chain with a high syscall throughput and short lifetime, suggesting a potential malicious script. | Behavioural anomaly: high failed_call_rate and parent_child_rarity, indicating unusual process behavior and a rare exec chain. | Benign-explanation test: short lifetime and high syscall throughput are inconsistent with typical admin scripting or cron jobs. | Decide: the high failed_call_rate and rare exec chain, along with the short lifetime, support the CNN's malicious classification.",ok,
9078,1,0,1,MALICIOUS,1,0.95,cnn,"[""parent_child_rarity"", ""lifetime_seconds"", ""events_per_second"", ""seq_length"", ""ephemeral_privileged""]","Privilege state: process real UID is root and effective UID is root with no UID change, but parent_child_rarity is 1 indicating a rare exec chain. | Mechanism: no setuid/setgid execution, but exec_count is higher than benign, suggesting unusual command execution. | Behavioural anomaly: short lifetime_seconds and high events_per_second with a rare exec chain, indicating potential malicious intent. | Benign-explanation test: low unique_syscalls and no file or network activity, which does not align with typical benign admin scripts or health checks. | Decide: the high confidence from CNN and the unusual exec chain and short lifetime outweigh XGBoost's benign call; this supports the CNN.",ok,
10245,1,0,1,MALICIOUS,1,0.95,cnn,"[""parent_child_rarity"", ""lifetime_seconds"", ""events_per_second"", ""seq_length"", ""ephemeral_privileged""]","Privilege state: process real UID is root and effective UID is root with no UID change, but parent_child_rarity is 1 indicating a rare exec chain. | Mechanism: no setuid/setgid execution, but exec_count is higher than benign, suggesting unusual command execution. | Behavioural anomaly: short lifetime_seconds and high events_per_second with a rare exec chain, indicating potential malicious intent. | Benign-explanation test: low unique_syscalls and no file or network activity, which does not align with typical benign admin scripts or health checks. | Decide: the high confidence from CNN and the unusual exec chain and short lifetime outweigh XGBoost's benign call; this supports the CNN.",ok,
10257,0,0,1,MALICIOUS,1,0.78,cnn,"[""events_per_second"", ""seq_length"", ""auid_euid_mismatch"", ""failed_call_rate""]","Privilege state: UID changed and auid_euid_mismatch set, indicating potential identity spoofing. | Mechanism: No setuid/setgid execution, but a high syscall throughput (events_per_second at p98) and a short-lived privileged process (ephemeral_privileged set). | Behavioural anomaly: High failed_call_rate (p98 vs benign) and exec_count (p82 vs benign) suggest unusual or failed system interactions. | Benign-explanation test: Short lifetime (p42) and unique_syscalls (p51) argue against typical admin scripting or health-checks. | Decide: The high failed_call_rate and exec_count, along with the UID changes, support the CNN's malicious classification.",ok,
10573,0,0,1,MALICIOUS,1,0.95,cnn,"[""failed_call_rate"", ""seq_length"", ""unique_syscalls"", ""failed_call_count"", ""events_per_second""]","Privilege state: process real UID is root and effective UID is root with no UID change, but a high failed_call_rate indicating potential syscall misuse. | Mechanism: no setuid/setgid execution, but a high exec_count and unique_syscalls suggesting an unusual command sequence. | Behavioural anomaly: a high failed_call_rate and a rare parent->child exec pair, indicating potential misuse or anomaly. | Benign-explanation test: short lifetime and high syscall throughput do not align with typical admin scripting or health-check behavior. | Decide: the high failed_call_rate and unusual exec pattern support the CNN's malicious classification over XGBoost's benign call.",ok,
11231,0,0,1,MALICIOUS,1,0.78,cnn,"[""events_per_second"", ""seq_length"", ""auid_euid_mismatch"", ""failed_call_rate""]","Privilege state: UID changed and auid_euid_mismatch set, indicating potential identity spoofing. | Mechanism: No setuid/setgid execution, but a high syscall throughput (events_per_second at p98) and a short-lived privileged process (ephemeral_privileged set). | Behavioural anomaly: High failed_call_rate (p98 vs benign) and exec_count (p82 vs benign) suggest unusual or failed system interactions. | Benign-explanation test: Short lifetime (p42) and unique_syscalls (p51) argue against typical admin scripting or health-checks. | Decide: The high failed_call_rate and exec_count, along with the UID changes, support the CNN's malicious classification.",ok,
11816,1,0,1,MALICIOUS,1,0.95,cnn,"[""failed_call_rate"", ""exec_count"", ""parent_child_rarity"", ""lifetime_seconds"", ""unique_syscalls""]","Privilege state: UID and EUID are both root with no UID change, but a high failed_call_rate suggests attempts to access restricted resources. | Mechanism: No setuid/setgid execution, but a rare exec chain with a high exec_count and unique_syscalls, indicating unusual command execution. | Behavioural anomaly: Short lifetime_seconds and parent_child_rarity of 1 suggest a rare and brief process execution pattern, which is uncommon for benign activities. | Benign-explanation test: Low events_per_second and a short sequence length (seq_length=5) argue against typical admin scripting or health-check processes. | Decide: The high failed_call_rate and rare exec chain, along with the short process lifetime, support the CNN's MALICIOUS classification.",ok,
12943,0,0,1,BENIGN,0,0.52,xgb,"[""events_per_second"", ""lifetime_seconds"", ""seq_length"", ""uid_is_root"", ""parent_child_rarity""]","Privilege state: process real UID is root, but no UID change and effective UID is also root, no significant max_uid_euid_delta. | Mechanism: no setuid/setgid execution and no shell spawned from a service context, low priv_op_count. | Behavioural anomaly: high syscall throughput (events_per_second at p93) and short lifetime (p42) suggest benign activity, failed_call_rate is not high. | Benign-explanation test: short process lifetime and typical syscall sequence length (seq_length at p46) support admin scripting or health-check. | Decide: the benign explanation is supported by XGBoost's model call and the absence of clear malicious indicators; this supports XGBoost.",ok,
13125,1,0,1,MALICIOUS,1,0.75,cnn,"[""failed_call_rate"", ""lifetime_seconds"", ""events_per_second"", ""exec_count""]","Privilege state: process real UID is root and effective UID is root, but auid_euid_mismatch is not set, indicating no identity inconsistency. | Mechanism: no setuid/setgid execution, exec_count is high but not unusual, and no shell spawned from a service. | Behavioural anomaly: failed_call_rate is high, exec_count is high, and lifetime_seconds is very short, suggesting rapid, potentially malicious activity. | Benign-explanation test: high syscall throughput (events_per_second at p20) and a short process lifetime (p88) argue against a benign admin script or health-check. | Decide: high failed_call_rate and short lifetime outweigh XGBoost's benign call; this supports the CNN's malicious classification.",ok,
13763,0,0,1,MALICIOUS,1,0.97,cnn,"[""lifetime_seconds"", ""events_per_second"", ""parent_child_rarity"", ""failed_call_rate""]","Privilege state: process real UID is root and effective UID is root with no UID change, indicating a potential privilege escalation attempt. | Mechanism: no setuid/setgid execution, but a high syscall throughput (events_per_second at p12 vs benign) and a rare exec chain (parent_child_rarity at p16 vs benign). | Behavioural anomaly: short-lived privileged process (ephemeral_privileged set) with a high failed_call_rate (0.75) and a rare exec chain, suggesting an anomaly. | Benign-explanation test: short lifetime (p88) and high syscall throughput argue against typical benign admin activities. | Decide: the high confidence in maliciousness by CNN, combined with unusual behavioural features, supports the CNN's classification.",ok,
13883,0,0,1,MALICIOUS,1,0.95,cnn,"[""failed_call_rate"", ""exec_count"", ""parent_child_rarity"", ""lifetime_seconds"", ""unique_syscalls""]","Privilege state: UID and EUID are both root with no UID change, but a high failed_call_rate suggests attempts to access restricted resources. | Mechanism: No setuid/setgid execution, but a rare exec chain with a high exec_count and unique_syscalls, indicating unusual command execution. | Behavioural anomaly: Short lifetime_seconds and parent_child_rarity of 1 suggest a rare and brief process execution pattern, which is uncommon for benign activities. | Benign-explanation test: Low events_per_second and a short sequence length (seq_length=5) argue against typical admin scripting or health-check processes. | Decide: The high failed_call_rate and rare exec chain, along with the short process lifetime, support the CNN's MALICIOUS classification.",ok,
14188,1,0,1,BENIGN,0,0.54,xgb,"[""lifetime_seconds"", ""seq_length"", ""unique_syscalls"", ""failed_call_count"", ""exec_count""]","Privilege state: process real UID is root, but no UID change and effective UID is also root, with no significant gap between them. | Mechanism: no setuid/setgid execution and no shell spawned from a service context, low priv_op_count. | Behavioural anomaly: high syscall error rate (failed_call_rate) and exec_count, but these are common in benign admin scripts. | Benign-explanation test: long process lifetime (p99+) and typical syscall sequence length (p99+) suggest routine admin activity. | Decide: the benign explanation test and low priv_op_count outweigh the CNN's malicious call; this supports the XGBoost.",ok,
16131,0,0,1,MALICIOUS,1,0.97,cnn,"[""parent_child_rarity"", ""lifetime_seconds"", ""events_per_second"", ""seq_length"", ""ephemeral_privileged""]","Privilege state: process real UID is root and effective UID is root with no UID change, indicating a potential privilege escalation attempt. | Mechanism: no setuid/setgid execution, but a rare exec chain with a high syscall throughput and short lifetime, suggesting a potential malicious script. | Behavioural anomaly: a very rare parent->child exec pair and a high failed syscall rate, which is unusual for benign processes. | Benign-explanation test: short lifetime and high syscall throughput do not align with typical admin scripting or health-check behavior. | Decide: the high confidence in maliciousness by CNN, despite XGBoost's benign call, is supported by the unusual exec chain and failed syscall rate.",ok,
16250,1,0,1,MALICIOUS,1,0.95,cnn,"[""failed_call_rate"", ""exec_count"", ""parent_child_rarity"", ""lifetime_seconds"", ""unique_syscalls""]","Privilege state: UID and EUID are both root with no UID change, but a high failed_call_rate suggests attempts to access restricted resources. | Mechanism: No setuid/setgid execution, but a rare exec chain with a high exec_count and unique_syscalls, indicating unusual command execution. | Behavioural anomaly: Short lifetime_seconds and parent_child_rarity of 1 suggest a rare and brief process execution pattern, which is uncommon for benign activities. | Benign-explanation test: Low events_per_second and a short sequence length (seq_length=5) argue against typical admin scripting or health-check processes. | Decide: The high failed_call_rate and rare exec chain, along with the short process lifetime, support the CNN's MALICIOUS classification.",ok,
19012,0,0,1,MALICIOUS,1,0.95,cnn,"[""failed_call_rate"", ""exec_count"", ""parent_child_rarity"", ""lifetime_seconds"", ""unique_syscalls""]","Privilege state: UID and EUID are both root with no UID change, but a high failed_call_rate suggests attempts to access restricted resources. | Mechanism: No setuid/setgid execution, but a rare exec chain with a high exec_count and unique_syscalls, indicating unusual command execution. | Behavioural anomaly: Short lifetime_seconds and parent_child_rarity of 1 suggest a rare and brief process execution pattern, which is uncommon for benign activities. | Benign-explanation test: Low events_per_second and a short sequence length (seq_length=5) argue against typical admin scripting or health-check processes. | Decide: The high failed_call_rate and rare exec chain, along with the short process lifetime, support the CNN's MALICIOUS classification.",ok,
19168,1,0,1,MALICIOUS,1,0.95,cnn,"[""failed_call_rate"", ""exec_count"", ""parent_child_rarity"", ""lifetime_seconds"", ""unique_syscalls""]","Privilege state: UID and EUID are both root with no UID change, but a high failed_call_rate suggests attempts to access restricted resources. | Mechanism: No setuid/setgid execution, but a rare exec chain with a high exec_count and unique_syscalls, indicating unusual command execution. | Behavioural anomaly: Short lifetime_seconds and parent_child_rarity of 1 suggest a rare and brief process execution pattern, which is uncommon for benign activities. | Benign-explanation test: Low events_per_second and a short sequence length (seq_length=5) argue against typical admin scripting or health-check processes. | Decide: The high failed_call_rate and rare exec chain, along with the short process lifetime, support the CNN's MALICIOUS classification.",ok,
19185,0,0,1,MALICIOUS,1,0.72,cnn,"[""auid_euid_mismatch"", ""events_per_second"", ""failed_call_rate"", ""parent_child_rarity""]","Privilege state: UID changed and auid_euid_mismatch set, indicating potential identity spoofing. | Mechanism: No setuid/setgid execution, but a high syscall throughput (events_per_second at p98) and a short-lived privileged process (ephemeral_privileged set). | Behavioural anomaly: High failed_call_rate (p98 vs benign) and exec_count (p82 vs benign) suggest unusual or failed system interactions. | Benign-explanation test: Short lifetime (p42) and parent_child_rarity (1) argue against typical benign admin activity. | Decide: The evidence of UID change and failed syscalls supports the CNN's malicious classification over XGBoost's benign call.",ok,
20138,0,0,1,MALICIOUS,1,0.95,cnn,"[""failed_call_rate"", ""exec_count"", ""parent_child_rarity"", ""lifetime_seconds"", ""unique_syscalls""]","Privilege state: UID and EUID are both root with no UID change, but a high failed_call_rate suggests attempts to access restricted resources. | Mechanism: No setuid/setgid execution, but a rare exec chain with a high exec_count and unique_syscalls, indicating unusual command execution. | Behavioural anomaly: Short lifetime_seconds and parent_child_rarity of 1 suggest a rare and brief process execution pattern, which is uncommon for benign activities. | Benign-explanation test: Low events_per_second and a short sequence length (seq_length=5) argue against typical admin scripting or health-check processes. | Decide: The high failed_call_rate and rare exec chain, along with the short process lifetime, support the CNN's MALICIOUS classification.",ok,
20538,0,0,1,MALICIOUS,1,0.95,cnn,"[""parent_child_rarity"", ""lifetime_seconds"", ""events_per_second"", ""seq_length"", ""ephemeral_privileged""]","Privilege state: process real UID is root and effective UID is root with no UID change, but parent_child_rarity is unusual. | Mechanism: no setuid/setgid execution, but exec_count is higher than benign and attack populations. | Behavioural anomaly: high failed_call_rate and parent_child_rarity near 1 -- a rare exec chain with frequent syscall errors. | Benign-explanation test: short lifetime and high syscall throughput argue against a routine admin script or health-check. | Decide: the high failed_call_rate and unusual exec chain support the CNN's malicious classification.",ok,
21349,0,0,1,MALICIOUS,1,0.72,cnn,"[""auid_euid_mismatch"", ""events_per_second"", ""failed_call_rate"", ""parent_child_rarity""]","Privilege state: UID changed and auid_euid_mismatch set, indicating potential identity spoofing. | Mechanism: No setuid/setgid execution, but a high syscall throughput (events_per_second at p98) and a short-lived privileged process (ephemeral_privileged set). | Behavioural anomaly: High failed_call_rate (p98 vs benign) and exec_count (p82 vs benign) suggest unusual or failed system interactions. | Benign-explanation test: Short lifetime (p42) and parent_child_rarity (1) argue against typical benign admin activity. | Decide: The evidence of UID change and failed syscalls supports the CNN's malicious classification over XGBoost's benign call.",ok,
21489,0,0,1,MALICIOUS,1,0.95,cnn,"[""parent_child_rarity"", ""lifetime_seconds"", ""events_per_second"", ""seq_length"", ""ephemeral_privileged""]","Privilege state: process real UID is root and effective UID is root with no UID change, but parent_child_rarity is unusual. | Mechanism: no setuid/setgid execution, but exec_count is higher than benign and attack populations. | Behavioural anomaly: high failed_call_rate and parent_child_rarity near 1 -- a rare exec chain with frequent syscall errors. | Benign-explanation test: short lifetime and high syscall throughput argue against a routine admin script or health-check. | Decide: the high failed_call_rate and unusual exec chain support the CNN's malicious classification.",ok,
22033,0,0,1,MALICIOUS,1,0.72,cnn,"[""auid_euid_mismatch"", ""events_per_second"", ""failed_call_rate"", ""parent_child_rarity""]","Privilege state: UID changed and auid_euid_mismatch set, indicating potential identity spoofing. | Mechanism: No setuid/setgid execution, but a high syscall throughput (events_per_second at p98) and a short-lived privileged process (ephemeral_privileged set). | Behavioural anomaly: High failed_call_rate (p98 vs benign) and exec_count (p82 vs benign) suggest unusual or failed system interactions. | Benign-explanation test: Short lifetime (p42) and parent_child_rarity (1) argue against typical benign admin activity. | Decide: The evidence of UID change and failed syscalls supports the CNN's malicious classification over XGBoost's benign call.",ok,
22852,0,0,1,MALICIOUS,1,0.97,cnn,"[""parent_child_rarity"", ""events_per_second"", ""ephemeral_privileged"", ""lifetime_seconds"", ""seq_length""]","Privilege state: process real UID is root and effective UID is root with no UID change, indicating no privilege escalation attempt. | Mechanism: no setuid/setgid execution and no shell spawned from a service, suggesting no typical escalation mechanism. | Behavioural anomaly: high syscall throughput (events_per_second at p94) and a rare parent->child exec pair (parent_child_rarity at p10) with a very short lifetime (lifetime_seconds at p42) -- indicative of an anomaly. | Benign-explanation test: the process has a low exec_count and no file or network activity, which does not align with typical benign admin activities. | Decide: despite XGBoost's benign call, the high syscall rate and rare exec pair, along with the CNN's high malicious confidence, support the MALICIOUS verdict.",ok,
23595,1,0,1,MALICIOUS,1,0.95,cnn,"[""parent_child_rarity"", ""lifetime_seconds"", ""events_per_second"", ""seq_length"", ""ephemeral_privileged""]","Privilege state: process real UID is root and effective UID is root with no UID change, but parent_child_rarity is unusual. | Mechanism: no setuid/setgid execution, but exec_count is higher than benign and attack populations. | Behavioural anomaly: high failed_call_rate and parent_child_rarity near 1 -- a rare exec chain with frequent syscall errors. | Benign-explanation test: short lifetime and high syscall throughput argue against a routine admin script or health-check. | Decide: the high failed_call_rate and unusual exec chain support the CNN's malicious classification.",ok,
23992,0,0,1,MALICIOUS,1,0.95,cnn,"[""failed_call_rate"", ""exec_count"", ""parent_child_rarity"", ""lifetime_seconds"", ""unique_syscalls""]","Privilege state: UID and EUID are both root with no UID change, but a high failed_call_rate suggests attempts to access restricted resources. | Mechanism: No setuid/setgid execution, but a rare exec chain with a high exec_count and unique_syscalls, indicating unusual command execution. | Behavioural anomaly: Short lifetime_seconds and parent_child_rarity of 1 suggest a rare and brief process execution pattern, which is uncommon for benign activities. | Benign-explanation test: Low events_per_second and a short sequence length (seq_length=5) argue against typical admin scripting or health-check processes. | Decide: The high failed_call_rate and rare exec chain, along with the short process lifetime, support the CNN's MALICIOUS classification.",ok,
24541,0,0,1,MALICIOUS,1,0.97,cnn,"[""parent_child_rarity"", ""events_per_second"", ""ephemeral_privileged"", ""lifetime_seconds"", ""seq_length""]","Privilege state: process real UID is root and effective UID is root with no UID change, indicating no privilege escalation attempt. | Mechanism: no setuid/setgid execution and no shell spawned from a service, suggesting no typical escalation mechanism. | Behavioural anomaly: high syscall throughput (events_per_second at p94) and a rare parent->child exec pair (parent_child_rarity at p10) with a very short lifetime (lifetime_seconds at p42) -- indicative of an anomaly. | Benign-explanation test: the process has a low exec_count and no file or network activity, which does not align with typical benign admin activities. | Decide: despite XGBoost's benign call, the high syscall rate and rare exec pair, along with the CNN's high malicious confidence, support the MALICIOUS verdict.",ok,
24766,0,0,1,MALICIOUS,1,0.95,cnn,"[""parent_child_rarity"", ""lifetime_seconds"", ""events_per_second"", ""seq_length"", ""ephemeral_privileged""]","Privilege state: process real UID is root and effective UID is root with no UID change, but parent_child_rarity is unusual. | Mechanism: no setuid/setgid execution, but exec_count is higher than benign and attack populations. | Behavioural anomaly: high failed_call_rate and parent_child_rarity near 1 -- a rare exec chain with frequent syscall errors. | Benign-explanation test: short lifetime and high syscall throughput argue against a routine admin script or health-check. | Decide: the high failed_call_rate and unusual exec chain support the CNN's malicious classification.",ok,
25887,0,0,1,MALICIOUS,1,0.72,cnn,"[""auid_euid_mismatch"", ""events_per_second"", ""failed_call_rate"", ""parent_child_rarity""]","Privilege state: UID changed and auid_euid_mismatch set, indicating potential identity spoofing. | Mechanism: No setuid/setgid execution, but a high syscall throughput (events_per_second at p98) and a short-lived privileged process (ephemeral_privileged set). | Behavioural anomaly: High failed_call_rate (p98 vs benign) and exec_count (p82 vs benign) suggest unusual or failed system interactions. | Benign-explanation test: Short lifetime (p42) and parent_child_rarity (1) argue against typical benign admin activity. | Decide: The evidence of UID change and failed syscalls supports the CNN's malicious classification over XGBoost's benign call.",ok,
26724,1,0,1,MALICIOUS,1,0.95,cnn,"[""parent_child_rarity"", ""lifetime_seconds"", ""events_per_second"", ""seq_length"", ""ephemeral_privileged""]","Privilege state: process real UID is root and effective UID is root with no UID change, but parent_child_rarity is unusual. | Mechanism: no setuid/setgid execution, but exec_count is higher than benign and attack populations. | Behavioural anomaly: high failed_call_rate and parent_child_rarity near 1 -- a rare exec chain with frequent syscall errors. | Benign-explanation test: short lifetime and high syscall throughput argue against a routine admin script or health-check. | Decide: the high failed_call_rate and unusual exec chain support the CNN's malicious classification.",ok,
27470,0,0,1,MALICIOUS,1,0.72,cnn,"[""auid_euid_mismatch"", ""events_per_second"", ""failed_call_rate"", ""parent_child_rarity""]","Privilege state: UID changed and auid_euid_mismatch set, indicating potential identity spoofing. | Mechanism: No setuid/setgid execution, but a high syscall throughput (events_per_second at p98) and a short-lived privileged process (ephemeral_privileged set). | Behavioural anomaly: High failed_call_rate (p98 vs benign) and exec_count (p82 vs benign) suggest unusual or failed system interactions. | Benign-explanation test: Short lifetime (p42) and parent_child_rarity (1) argue against typical benign admin activity. | Decide: The evidence of UID change and failed syscalls supports the CNN's malicious classification over XGBoost's benign call.",ok,
27695,0,0,1,MALICIOUS,1,0.78,cnn,"[""auid_euid_mismatch"", ""events_per_second"", ""failed_call_rate"", ""failed_call_count""]","Privilege state: UID changed and auid_euid_mismatch set, indicating potential identity spoofing. | Mechanism: No setuid/setgid execution, but a high syscall throughput (events_per_second at p98) and a short-lived privileged process (ephemeral_privileged set). | Behavioural anomaly: High failed_call_rate (p98 vs benign) and exec_count (p82 vs benign) suggest unusual or failed system interactions. | Benign-explanation test: Short lifetime (p42) and unique_syscalls (p51) argue against typical admin scripting or health-checks. | Decide: The evidence of UID change and failed syscalls, despite no clear escalation mechanism, supports the CNN's malicious classification.",ok,
