row_id,true_label,pred_xgb,pred_cnn,llm_verdict,llm_pred,llm_confidence,key_features,rationale,parse_status,error,llm_agrees_with
19168,1,0,1,MALICIOUS,1.0,0.85,"[""unique_syscalls"", ""uid_is_root"", ""euid_root"", ""max_uid_euid_delta"", ""is_suid_exec""]","Ephemeral privileged process with uid_is_root and euid_root. | Unusual exec chain with is_suid_exec and max_uid_euid_delta. | High failed_call_rate and parent_child_rarity. | Low events_per_second and lifetime_seconds, not typical admin scripting. | Evidence supports CNN's call; XGBoost's FP pattern not matched.",ok,,cnn
19185,0,0,1,MALICIOUS,1.0,0.74,"[""events_per_second"", ""uid_is_root"", ""euid_root"", ""max_uid_euid_delta""]","Privilege state: UID/EUID transition to root with no prior change. | Mechanism: No setuid/setgid execution, but exec_count suggests unusual activity. | Behavioural anomaly: High failed_call_rate and parent_child_rarity. | Benign-explanation test: Unusual events_per_second and unique_syscalls for admin scripting.",ok,,cnn
20138,0,0,1,MALICIOUS,1.0,0.85,"[""unique_syscalls"", ""uid_is_root"", ""euid_root"", ""max_uid_euid_delta"", ""is_suid_exec""]","Ephemeral privileged process with uid_is_root and euid_root. | Unusual exec chain with is_suid_exec and max_uid_euid_delta. | High failed_call_rate and parent_child_rarity. | Low events_per_second and lifetime_seconds, not typical admin scripting. | Evidence supports CNN's call; XGBoost's FP pattern not matched.",ok,,cnn
20538,0,0,1,MALICIOUS,1.0,0.95,"[""uid_is_root"", ""euid_root"", ""is_suid_exec"", ""ephemeral_privileged"", ""parent_child_rarity""]","Privilege state: UID/EUID transition to root with no prior change. | Mechanism: Executed a setuid binary, unusual exec chain. | Behavioural anomaly: Ephemeral privileged process, no network activity. | Benign-explanation test: Short-lived process, unusual parent-child pair.",ok,,cnn
21349,0,0,1,MALICIOUS,1.0,0.74,"[""events_per_second"", ""uid_is_root"", ""euid_root"", ""max_uid_euid_delta""]","Privilege state: UID/EUID transition to root with no prior change. | Mechanism: No setuid/setgid execution, but exec_count suggests unusual activity. | Behavioural anomaly: High failed_call_rate and parent_child_rarity. | Benign-explanation test: Unusual events_per_second and unique_syscalls for admin scripting.",ok,,cnn
21489,0,0,1,MALICIOUS,1.0,0.95,"[""euid_root"", ""is_suid_exec"", ""ephemeral_privileged"", ""parent_child_rarity""]","Privilege state: UID/EUID transition to root with no prior change. | Mechanism: Executed a setuid binary, unusual exec chain. | Behavioural anomaly: Ephemeral privileged process, no network activity. | Benign-explanation test: Short-lived process, unusual parent-child pair.",ok,,cnn
22033,0,0,1,MALICIOUS,1.0,0.74,"[""events_per_second"", ""uid_is_root"", ""euid_root"", ""max_uid_euid_delta""]","Privilege state: UID/EUID transition to root with no prior change. | Mechanism: No setuid/setgid execution, but exec_count suggests unusual activity. | Behavioural anomaly: High failed_call_rate and parent_child_rarity. | Benign-explanation test: Unusual events_per_second and unique_syscalls for admin scripting.",ok,,cnn
22852,0,0,1,MALICIOUS,1.0,0.97,"[""ephemeral_privileged"", ""uid_is_root"", ""euid_root"", ""max_uid_euid_delta""]",Ephemeral privileged process with root UID/EUID transition. | No benign explanation for setuid/setgid execution and unusual exec chain. | High failed syscall rate and rare parent-child exec pair. | Short process lifetime with no admin scripting or cron job indicators.,ok,,cnn
23595,1,0,1,MALICIOUS,1.0,0.95,"[""euid_root"", ""is_suid_exec"", ""ephemeral_privileged"", ""parent_child_rarity""]","Privilege state: UID/EUID transition to root with no prior change. | Mechanism: Executed a setuid binary, unusual exec chain. | Behavioural anomaly: Ephemeral privileged process, no network activity. | Benign-explanation test: Short-lived process, unusual parent-child pair.",ok,,cnn
23992,0,0,1,MALICIOUS,1.0,0.85,"[""unique_syscalls"", ""uid_is_root"", ""euid_root"", ""max_uid_euid_delta"", ""is_suid_exec""]","Ephemeral privileged process with uid_is_root and euid_root. | Unusual exec chain with is_suid_exec and max_uid_euid_delta. | High failed_call_rate and parent_child_rarity. | Low events_per_second and lifetime_seconds, not typical admin scripting. | Evidence supports CNN's call; XGBoost's FP pattern not matched.",ok,,cnn
24541,0,0,1,MALICIOUS,1.0,0.97,"[""ephemeral_privileged"", ""uid_is_root"", ""euid_root"", ""max_uid_euid_delta"", ""is_suid_exec""]",Ephemeral privileged process with root UID/EUID transition. | No benign explanation for setuid/setgid execution and unusual exec chain. | High failed syscall rate and rare parent-child exec pair. | Short-lived process with no plausible benign activity. | Evidence supports CNN model's call; XGBoost model's score is high but not definitive.,ok,,cnn
24766,0,0,1,MALICIOUS,1.0,0.95,"[""euid_root"", ""is_suid_exec"", ""ephemeral_privileged"", ""parent_child_rarity""]","Privilege state: UID/EUID transition to root with no prior change. | Mechanism: Executed a setuid binary, unusual exec chain. | Behavioural anomaly: Ephemeral privileged process, no network activity. | Benign-explanation test: Short-lived process, unusual parent-child pair.",ok,,cnn
25887,0,0,1,MALICIOUS,1.0,0.74,"[""events_per_second"", ""uid_is_root"", ""euid_root"", ""max_uid_euid_delta""]","Privilege state: UID/EUID transition to root with no prior change. | Mechanism: No setuid/setgid execution, but exec_count suggests unusual activity. | Behavioural anomaly: High failed_call_rate and parent_child_rarity. | Benign-explanation test: Unusual events_per_second and unique_syscalls for admin scripting.",ok,,cnn
26724,1,0,1,MALICIOUS,1.0,0.95,"[""euid_root"", ""is_suid_exec"", ""ephemeral_privileged"", ""parent_child_rarity""]","Privilege state: UID/EUID transition to root with no prior change. | Mechanism: Executed a setuid binary, unusual exec chain. | Behavioural anomaly: Ephemeral privileged process, no network activity. | Benign-explanation test: Short-lived process, unusual parent-child pair.",ok,,cnn
27470,0,0,1,MALICIOUS,1.0,0.74,"[""events_per_second"", ""uid_is_root"", ""euid_root"", ""max_uid_euid_delta""]","Privilege state: UID/EUID transition to root with no prior change. | Mechanism: No setuid/setgid execution, but exec_count suggests unusual activity. | Behavioural anomaly: High failed_call_rate and parent_child_rarity. | Benign-explanation test: Unusual events_per_second and unique_syscalls for admin scripting.",ok,,cnn
27695,0,0,1,MALICIOUS,1.0,0.74,"[""events_per_second"", ""uid_is_root"", ""euid_root"", ""max_uid_euid_delta""]","Privilege state: UID/EUID transition to root with no prior change. | Mechanism: No setuid/setgid execution, but exec_count suggests unusual activity. | Behavioural anomaly: High failed_call_rate and parent_child_rarity. | Benign-explanation test: Unusual events_per_second and unique_syscalls for admin scripting.",ok,,cnn
31585,0,0,1,MALICIOUS,1.0,0.95,"[""euid_root"", ""is_suid_exec"", ""ephemeral_privileged"", ""parent_child_rarity""]","Privilege state: UID/EUID transition to root with no prior change. | Mechanism: Executed a setuid binary, unusual exec chain. | Behavioural anomaly: Ephemeral privileged process, no network activity. | Benign-explanation test: Short-lived process, unusual parent-child pair.",ok,,cnn
31644,1,0,1,MALICIOUS,1.0,0.95,"[""euid_root"", ""is_suid_exec"", ""ephemeral_privileged"", ""parent_child_rarity""]","Privilege state: UID/EUID transition to root with no prior change. | Mechanism: Executed a setuid binary, unusual exec chain. | Behavioural anomaly: Ephemeral privileged process, no network activity. | Benign-explanation test: Short-lived process, unusual parent-child pair.",ok,,cnn
32212,0,0,1,MALICIOUS,1.0,0.74,"[""events_per_second"", ""uid_is_root"", ""euid_root"", ""max_uid_euid_delta""]","Privilege state: UID/EUID transition to root with no prior change. | Mechanism: No setuid/setgid execution, but exec_count suggests unusual activity. | Behavioural anomaly: High failed_call_rate and parent_child_rarity. | Benign-explanation test: Unusual events_per_second and unique_syscalls for admin scripting.",ok,,cnn
33998,0,0,1,MALICIOUS,1.0,0.95,"[""euid_root"", ""is_suid_exec"", ""ephemeral_privileged"", ""parent_child_rarity""]","Privilege state: UID/EUID transition to root with no prior change. | Mechanism: Executed a setuid binary, unusual exec chain. | Behavioural anomaly: Ephemeral privileged process, no network activity. | Benign-explanation test: Short-lived process, unusual parent-child pair.",ok,,cnn
34144,1,0,1,MALICIOUS,1.0,0.85,"[""unique_syscalls"", ""uid_is_root"", ""euid_root"", ""max_uid_euid_delta"", ""is_suid_exec""]","Ephemeral privileged process with uid_is_root and euid_root. | Unusual exec chain with is_suid_exec and max_uid_euid_delta. | High failed_call_rate and parent_child_rarity. | Low events_per_second and lifetime_seconds, not typical admin scripting. | Evidence supports CNN's call; XGBoost's FP pattern not matched.",ok,,cnn
35192,0,0,1,MALICIOUS,1.0,0.74,"[""events_per_second"", ""uid_is_root"", ""euid_root"", ""max_uid_euid_delta""]","Privilege state: UID/EUID transition to root with no prior change. | Mechanism: No setuid/setgid execution, but exec_count suggests unusual activity. | Behavioural anomaly: High failed_call_rate and parent_child_rarity. | Benign-explanation test: Unusual events_per_second and unique_syscalls for admin scripting.",ok,,cnn
35270,0,0,1,MALICIOUS,1.0,0.97,"[""ephemeral_privileged"", ""uid_is_root"", ""euid_root"", ""max_uid_euid_delta"", ""is_suid_exec""]",Ephemeral privileged process with root UID/EUID transition. | No benign explanation for setuid/setgid execution and unusual exec chain. | High failed syscall rate and rare parent-child exec pair. | Short-lived process with no plausible benign activity. | Evidence supports CNN's call; XGBoost's FP pattern not matched.,ok,,cnn
35585,0,0,1,MALICIOUS,1.0,0.95,"[""uid_is_root"", ""euid_root"", ""max_uid_euid_delta"", ""is_suid_exec""]","Privilege state: UID/EUID transition to root with no prior change. | Mechanism: Executed a setuid binary, unusual exec chain. | Behavioural anomaly: High failed syscall rate, rare parent-child pair. | Benign-explanation test: Short-lived process, no admin scripting indicators.",ok,,cnn
35808,0,0,1,MALICIOUS,1.0,0.74,"[""events_per_second"", ""uid_is_root"", ""euid_root"", ""max_uid_euid_delta""]","Privilege state: UID/EUID transition to root with no prior change. | Mechanism: No setuid/setgid execution, but exec_count suggests unusual activity. | Behavioural anomaly: High failed_call_rate and parent_child_rarity. | Benign-explanation test: Unusual events_per_second and unique_syscalls for admin scripting.",ok,,cnn
37030,1,0,1,MALICIOUS,1.0,0.8,"[""max_uid_euid_delta"", ""is_suid_exec"", ""failed_call_rate"", ""parent_child_rarity""]",Privilege state: UID transition and root context with high max_uid_euid_delta. | Mechanism: Executed a setuid/setgid binary (is_suid_exec). | Behavioural anomaly: High failed_call_rate and exec_count. | Benign-explanation test: Short lifetime_seconds and high parent_child_rarity.,ok,,cnn
38899,0,0,1,MALICIOUS,1.0,0.85,"[""unique_syscalls"", ""uid_is_root"", ""euid_root"", ""max_uid_euid_delta"", ""is_suid_exec""]","Ephemeral privileged process with uid_is_root and euid_root. | Unusual exec chain with is_suid_exec and max_uid_euid_delta. | High failed_call_rate and parent_child_rarity. | Low events_per_second and lifetime_seconds, not typical admin scripting. | Evidence supports CNN's call; XGBoost's FP pattern not matched.",ok,,cnn
39581,1,0,1,MALICIOUS,1.0,0.99,"[""max_uid_euid_delta"", ""parent_child_rarity"", ""failed_call_rate"", ""uid_is_root"", ""uid_changed""]","Privilege state: UID transition and root context with high max_uid_euid_delta. | Mechanism: No setuid/setgid execution, but unusual exec chain. | Behavioural anomaly: High failed_call_rate and parent_child_rarity. | Benign-explanation test: Short lifetime and high parent_child_rarity make admin scripting unlikely.",ok,,cnn
40580,0,0,1,MALICIOUS,1.0,0.74,"[""events_per_second"", ""uid_is_root"", ""euid_root"", ""max_uid_euid_delta""]","Privilege state: UID/EUID transition to root with no prior change. | Mechanism: No setuid/setgid execution, but exec_count suggests unusual activity. | Behavioural anomaly: High failed_call_rate and parent_child_rarity. | Benign-explanation test: Unusual events_per_second and unique_syscalls for admin scripting.",ok,,cnn
40737,0,0,1,MALICIOUS,1.0,0.74,"[""events_per_second"", ""uid_is_root"", ""euid_root"", ""max_uid_euid_delta""]","Privilege state: UID/EUID transition to root with no prior change. | Mechanism: No setuid/setgid execution, but exec_count suggests unusual activity. | Behavioural anomaly: High failed_call_rate and parent_child_rarity. | Benign-explanation test: Unusual events_per_second and unique_syscalls for admin scripting.",ok,,cnn
43620,0,0,1,MALICIOUS,1.0,0.86,"[""euid_root"", ""is_suid_exec"", ""failed_call_rate"", ""parent_child_rarity""]","Privilege state: UID/EUID transition to root with no prior change. | Mechanism: Executed a setuid/setgid binary, unusual exec chain. | Behavioural anomaly: High failed syscall rate, rare parent->child exec pair. | Benign-explanation test: High syscall throughput, short process lifetime.",ok,,cnn
43715,0,0,1,MALICIOUS,1.0,0.95,"[""euid_root"", ""is_suid_exec"", ""ephemeral_privileged"", ""parent_child_rarity""]","Privilege state: UID/EUID transition to root with no prior change. | Mechanism: Executed a setuid binary, unusual exec chain. | Behavioural anomaly: Ephemeral privileged process, no network activity. | Benign-explanation test: Short-lived process, unusual parent-child pair.",ok,,cnn
44656,0,0,1,MALICIOUS,1.0,0.95,"[""euid_root"", ""is_suid_exec"", ""ephemeral_privileged"", ""parent_child_rarity""]","Privilege state: UID/EUID transition to root with no prior change. | Mechanism: Executed a setuid binary, unusual exec chain. | Behavioural anomaly: Ephemeral privileged process, no network activity. | Benign-explanation test: Short-lived process, unusual parent-child pair.",ok,,cnn
45753,0,0,1,MALICIOUS,1.0,0.74,"[""events_per_second"", ""uid_is_root"", ""euid_root"", ""max_uid_euid_delta""]","Privilege state: UID/EUID transition to root with no prior change. | Mechanism: No setuid/setgid execution, but exec_count suggests unusual activity. | Behavioural anomaly: High failed_call_rate and parent_child_rarity. | Benign-explanation test: Unusual events_per_second and unique_syscalls for admin scripting.",ok,,cnn
46106,0,0,1,MALICIOUS,1.0,0.95,"[""euid_root"", ""is_suid_exec"", ""ephemeral_privileged"", ""parent_child_rarity""]","Privilege state: UID/EUID transition to root with no prior change. | Mechanism: Executed a setuid binary, unusual exec chain. | Behavioural anomaly: Ephemeral privileged process, no network activity. | Benign-explanation test: Short-lived process, unusual parent-child pair.",ok,,cnn
46440,0,0,1,MALICIOUS,1.0,0.74,"[""events_per_second"", ""uid_is_root"", ""euid_root"", ""max_uid_euid_delta""]","Privilege state: UID/EUID transition to root with no prior change. | Mechanism: No setuid/setgid execution, but exec_count suggests unusual activity. | Behavioural anomaly: High failed_call_rate and parent_child_rarity. | Benign-explanation test: Unusual events_per_second and unique_syscalls for admin scripting.",ok,,cnn
47897,1,0,1,MALICIOUS,1.0,0.95,"[""euid_root"", ""is_suid_exec"", ""ephemeral_privileged"", ""parent_child_rarity""]","Privilege state: UID/EUID transition to root with no prior change. | Mechanism: Executed a setuid binary, unusual exec chain. | Behavioural anomaly: Ephemeral privileged process, no network activity. | Benign-explanation test: Short-lived process, unusual parent-child pair.",ok,,cnn
49239,0,0,1,MALICIOUS,1.0,0.95,"[""euid_root"", ""is_suid_exec"", ""ephemeral_privileged"", ""parent_child_rarity""]","Privilege state: UID/EUID transition to root with no prior change. | Mechanism: Executed a setuid binary, unusual exec chain. | Behavioural anomaly: Ephemeral privileged process, no network activity. | Benign-explanation test: Short-lived process, unusual parent-child pair.",ok,,cnn
50145,1,0,1,MALICIOUS,1.0,0.85,"[""unique_syscalls"", ""uid_is_root"", ""euid_root"", ""max_uid_euid_delta"", ""is_suid_exec""]","Ephemeral privileged process with uid_is_root and euid_root. | Unusual exec chain with is_suid_exec and max_uid_euid_delta. | High failed_call_rate and parent_child_rarity. | Low events_per_second and lifetime_seconds, not typical admin scripting. | Evidence supports CNN's call; XGBoost's FP pattern not matched.",ok,,cnn
51225,1,0,1,MALICIOUS,1.0,0.95,"[""euid_root"", ""is_suid_exec"", ""ephemeral_privileged"", ""parent_child_rarity""]","Privilege state: UID/EUID transition to root with no prior change. | Mechanism: Executed a setuid binary, unusual exec chain. | Behavioural anomaly: Ephemeral privileged process, no network activity. | Benign-explanation test: Short-lived process, unusual parent-child pair.",ok,,cnn
53538,1,0,1,MALICIOUS,1.0,0.95,"[""euid_root"", ""is_suid_exec"", ""ephemeral_privileged"", ""parent_child_rarity""]","Privilege state: UID/EUID transition to root with no prior change. | Mechanism: Executed a setuid binary, unusual exec chain. | Behavioural anomaly: Ephemeral privileged process, no network activity. | Benign-explanation test: Short-lived process, unusual parent-child pair.",ok,,cnn
54437,1,0,1,MALICIOUS,1.0,0.75,"[""uid_is_root"", ""euid_root"", ""max_uid_euid_delta"", ""is_suid_exec""]","Privilege state: UID/EUID transition to root with mismatched audit ID. | Mechanism: Executed a setuid/setgid binary, unusual exec chain. | Behavioural anomaly: High failed syscall rate, rare parent-child pair. | Benign-explanation test: Short lifetime, high syscall rate, unusual exec chain.",ok,,cnn
55022,0,0,1,MALICIOUS,1.0,0.85,"[""unique_syscalls"", ""uid_is_root"", ""euid_root"", ""max_uid_euid_delta"", ""is_suid_exec""]","Ephemeral privileged process with uid_is_root and euid_root. | Unusual exec chain with is_suid_exec and max_uid_euid_delta. | High failed_call_rate and parent_child_rarity. | Low events_per_second and lifetime_seconds, not typical admin scripting. | Evidence supports CNN's call; XGBoost's FP pattern not matched.",ok,,cnn
55403,0,0,1,MALICIOUS,1.0,0.95,"[""euid_root"", ""is_suid_exec"", ""ephemeral_privileged"", ""parent_child_rarity""]","Privilege state: UID/EUID transition to root with no prior change. | Mechanism: Executed a setuid binary, unusual exec chain. | Behavioural anomaly: Ephemeral privileged process, no network activity. | Benign-explanation test: Short-lived process, unusual parent-child pair.",ok,,cnn
56589,0,0,1,MALICIOUS,1.0,0.95,"[""euid_root"", ""is_suid_exec"", ""ephemeral_privileged"", ""parent_child_rarity""]","Privilege state: UID/EUID transition to root with no prior change. | Mechanism: Executed a setuid binary, unusual exec chain. | Behavioural anomaly: Ephemeral privileged process, no network activity. | Benign-explanation test: Short-lived process, unusual parent-child pair.",ok,,cnn
56670,0,0,1,MALICIOUS,1.0,0.95,"[""euid_root"", ""is_suid_exec"", ""failed_call_rate"", ""parent_child_rarity""]","Privilege state: UID/EUID transition to root with no prior change. | Mechanism: Executed a setuid binary, unusual exec chain. | Behavioural anomaly: High failed syscall rate, rare parent-child pair. | Benign-explanation test: Short-lived process, no admin scripting indicators.",ok,,cnn
